_id,episodeTitle,eventsNum,rssLifeExpectancy,fetchStatus,rssRegDate,day
575283ae5adbaba449e67a26,"Muhammad Ali, who riveted the world as 'The Greatest,' dies",0,0,6,2016-06-04T10:30:50.731,6
575283ae5adbaba449e67a28,"Military: Precision flying teams are worth the risk, cost",0,0,6,2016-06-04T10:30:53.087,6
575283ae5adbaba449e67a29,"Muhammad Ali, who riveted the world as 'The Greatest,' dies",0,0,6,2016-06-04T10:30:54.276,6
575285e75adbaba449e67aee,"Muhammad Ali, who riveted the world as 'The Greatest,' dies",0,0,6,2016-06-04T10:40:17.996,6
575285e75adbaba449e67af1,"Muhammad Ali, boxing and cultural icon, dead at age 74",3,48,6,2016-06-04T10:40:22.048,6
575299be5adbaba449e67fb8,"India, Japan say South China Sea peace will bring prosperity",0,0,6,2016-06-04T12:05:02.397,6
57529e1c5adbaba449e683ec,Modi in Afghanistan to inaugurate Salma Dam,43,579,6,2016-06-04T12:23:39.445,6
5752ab425adbaba449e684b5,Syrian army ‚??enters Raqqa province‚?? in offensive against Islamic State,15,189,6,2016-06-04T13:19:44.862,6
5752ab425adbaba449e684b6,Boxing legend Muhammad Ali dies at the age of 74,0,0,6,2016-06-04T13:19:46.184,6
5752afa95adbaba449e684fa,Fire erupts at Pakistan national airline facility,6,410,6,2016-06-04T13:38:33.626,6
5752b1d75adbaba449e68504,Ali's death rekindles memories of 'Thrilla in Manila' fight,0,0,6,2016-06-04T13:47:51.896,6
5752b4105adbaba449e6850e,Lightning strikes injure 51 at German music festival,0,0,6,2016-06-04T13:57:20.593,6
5752b80a5adbabcb25f972f3,Pope OKs procedures to remove bishops who botch abuse cases,0,0,6,2016-06-04T14:14:18.861,6
5752ba435adbabcb25f972fd,Beer to flow through city as Belgian pipe dream comes true,0,0,6,2016-06-04T14:23:47.480,6
5752bc715adbabcb25f97328,Controversial Maharashtra minister Eknath Khadse resigns,0,0,6,2016-06-04T14:33:05.462,6
5752c3105adbabcb25f9734d,Italian oil company Eni‚??s CEO meets with Libyan premier,4,47,6,2016-06-04T15:01:20.377,6
5752ce095adbabcb25f97c79,The Latest: Hong Kong student groups quit Tiananmen vigil,0,0,6,2016-06-04T15:48:09.666,6
5752d4965adbabcb25f97de8,Paris floods stabilise as Seine starts to recede,0,0,6,2016-06-04T16:16:06.387,6
5753ecf35adbab1bef6fc0c4,"Hillary Clinton moves closer to nomination, sweeps in Virgin Islands",114,1589,6,2016-06-05T12:12:09.328,6
5753ecf35adbab1bef6fc0c5,Southern California brushfire forces hundreds from homes,164,2670,6,2016-06-05T12:12:10.693,6
